rank,name,path,ranks_present,ranks_expected
family,Desulfuromonadaceae,Bacteria;Desulfobacterota;Desulfuromonadia;Desulfuromonadaceae;,4,5
family,Geoalkalibacteraceae,Bacteria;Desulfobacterota;Desulfuromonadia;Geoalkalibacteraceae;,4,5
family,Geopsychrobacteraceae,Bacteria;Desulfobacterota;Desulfuromonadia;Geopsychrobacteraceae;,4,5
family,Geothermobacteraceae,Bacteria;Desulfobacterota;Desulfuromonadia;Geothermobacteraceae;,4,5
family,Gracilibacteraceae,Bacteria;Firmicutes;Clostridia;Gracilibacteraceae;,4,5
family,Hadarchaeales,Archaea;Hadarchaeota;Hadarchaeia;Hadarchaeales;,4,5
family,Hungateiclostridiaceae,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;,4,5
family,S32,Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;YM;S32;,6,5
family,Syntrophotaleaceae,Bacteria;Desulfobacterota;Desulfuromonadia;Syntrophotaleaceae;,4,5
family,Thioprofundaceae,Bacteria;Proteobacteria;Gammaproteobacteria;Thioprofundaceae;,4,5
genus,Acetivibrio,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Acetivibrio;,5,6
genus,Alkalibaculum,Bacteria;Firmicutes;Clostridia;Eubacteriales;Alkalibaculum;,5,6
genus,Alkaliphilus,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Alkaliphilus;,5,6
genus,Anaerobacterium,Bacteria;Firmicutes;Clostridia;Hungateiclostridiaceae;Anaerobacterium;,5,6
genus,Anaerobranca,Bacteria;Firmicutes;Clostridia;Proteinivoracales;Anaerobranca;,5,6
genus,Anaerococcus,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerococcus;,5,6
genus,Anaeromicrobium,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaeromicrobium;,5,6
genus,Anaerosalibacter,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerosalibacter;,5,6
genus,Anaerosphaera,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerosphaera;,5,6
genus,Anaerovirgula,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovirgula;,5,6
genus,Anoxynatronum,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anoxynatronum;,5,6
genus,BBMC-4,Bacteria;Fibrobacterota;Fibrobacteria;Fibrobacterales;BBMC-4;,5,6
genus,Brassicibacter,Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Brassicibacter;,5,6
genus,Caldanaerovirga,Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;Caldanaerovirga;,5,6
